City,Name,Cuisine,Neighborhood,Address,Website,Lat,Lon,Place_ID,Google_Maps_URL,Google_Name,OpenTableUrl
Baltimore,Cypriana - Homewood,Mediterranean,Hampden,"105 W 39th St, Baltimore, MD 21210, USA",https://cypriana.com/,39.3361868,-76.6215818,ChIJWwy0uCMFyIkRVj0E94C_N7k,https://maps.google.com/?cid=13346346581356723542&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Cypriana - Baltimore,https://www.opentable.com/r/cypriana-homewood-baltimore
Baltimore,MARTA,Contemporary American,Upper Fells Point,"2127 E Pratt St, Baltimore, MD 21231, USA",https://www.martabaltimore.com/,39.2894173,-76.5862162,ChIJgf33WusFyIkR8wn68GyorB4,https://maps.google.com/?cid=2210326702984923635&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Marta Fine Food and Spirits,https://www.opentable.com/r/marta-baltimore
Baltimore,Amazonia,Peruvian,Mount Vernon Square,"920 Blagden Alley NW 2nd Floor, Washington, DC 20001, USA",https://amazoniadc.com/,38.9065162,-77.0247586,ChIJsdbOywi3t4kR4h2lslSr_6w,https://maps.google.com/?cid=12465870673847590370&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Amazonia (2nd Floor) | Causa (1st Floor),https://www.opentable.com/r/amazonia-washington
Baltimore,Dauphine's,Contemporary American,Downtown,"1100 15th St NW, Washington, DC 20005, USA",https://www.dauphinesdc.com/,38.9042719,-77.0349714,ChIJBS1Str-3t4kRHc6BoYLGD0A,https://maps.google.com/?cid=4616126407435734557&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Dauphine’s,https://www.opentable.com/r/dauphines-washington
Baltimore,Bresca,Contemporary French / American,U Street Corridor,"1906 14th St NW, Washington, DC 20009, USA",https://www.brescadc.com/,38.9158067,-77.0321954,ChIJIfKOC-i3t4kRjYSije_nwy0,https://maps.google.com/?cid=3297734368224773261&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,BRESCA,https://www.opentable.com/r/bresca-washington
Baltimore,Xiquet by Danny Lledó,Spanish,Georgetown,"2404 Wisconsin Ave NW, Washington, DC 20007, USA",https://www.xiquetdl.com/,38.9212801,-77.0724259,ChIJZZNZ9Lu3t4kRsIt1tM8JHjk,https://maps.google.com/?cid=4115737897153694640&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Xiquet by Danny Lledó,https://www.opentable.com/r/xiquet-by-danny-lledo-washington
Baltimore,The Duck and the Peach,American,Capitol Hill,"300 7th St SE, Washington, DC 20003, USA",https://www.duckandpeachdc.com/,38.885751,-76.995919,ChIJW5uj0Wa5t4kRrtj5oAIzhN0,https://maps.google.com/?cid=15961939065691560110&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,The Duck & The Peach,https://www.opentable.com/r/the-duck-and-the-peach-washington
Baltimore,Thip Khao,Laotian,Columbia Heights / Brightwood,"3462 14th St NW, Washington, DC 20010, USA",https://www.thipkhao.com/,38.9329915,-77.0329838,ChIJZ_aTmBjIt4kRBOOprOJHSwk,https://maps.google.com/?cid=669708008479646468&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Thip Khao Restaurant,https://www.opentable.com/r/thip-khao-washington
Baltimore,Elmina,African,U Street Corridor,"2208 14th St NW, Washington, DC 20009, USA",https://www.elminarestaurant.com/,38.9195509,-77.0323219,ChIJq0uCMQC3t4kRNvqH6Qi-XLw,https://maps.google.com/?cid=13572932322474850870&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Elmina,https://www.opentable.com/r/elmina-washington
Baltimore,Causa,Peruvian,Shaw,"920 Blagden Alley NW 1st Floor, Washington, DC 20001, USA",https://causadc.com/,38.9069113,-77.0247957,ChIJP1ej4ae3t4kRZmPbTsaTz_w,https://maps.google.com/?cid=18216941497672754022&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Causa,https://www.opentable.com/r/causa-washington
Baltimore,El Taller del Xiquet,Spanish,Georgetown,"2404 Wisconsin Ave NW 1st Floor, Washington, DC 20007, USA",https://www.eltallerdelxiquet.com/,38.9212801,-77.0724259,ChIJ_zFKIZm3t4kRQYWQ-aQ8JaY,https://maps.google.com/?cid=11972041863693632833&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,El Taller del Xiquet,https://www.opentable.com/r/el-estudio-xiquet-washington
Baltimore,Service Bar,Cocktail Bar,Mount Vernon Square,"111 W Centre St, Baltimore, MD 21201, USA",https://unitybarrestaurant.com/,39.2960799,-76.6179134,ChIJczUBxtIFyIkRaY-PwPFuI9Q,https://maps.google.com/?cid=15286183544822402921&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Unity Bar & Restaurant,https://www.opentable.com/r/service-bar-washington
Boston,Grill 23 & Bar,Steak,Back Bay,"161 Berkeley St, Boston, MA 02116, USA",https://www.grill23.com/,42.3494604,-71.071962,ChIJLeKcZ3N644kRfM2CTS_nHEU,https://maps.google.com/?cid=4980109478314823036&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Grill 23 & Bar,https://www.opentable.com/r/grill-23-and-bar-boston
Boston,Bistro du Midi,French,Back Bay,"272 Boylston St, Boston, MA 02116, USA",https://www.bistrodumidi.com/,42.3519437,-71.0694912,ChIJJ730snV644kR_3x6ThKaqsw,https://maps.google.com/?cid=14747769333194849535&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Bistro du Midi,https://www.opentable.com/bistro-du-midi
Boston,The Banks Seafood and Steak,Seafood,Back Bay,"406 Stuart St, Boston, MA 02116, USA",https://thebanksboston.com/,42.3488564,-71.0740315,ChIJgzmnaXZ744kRUagK-uie150,https://maps.google.com/?cid=11373734107412080721&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,The Banks Seafood and Steak,https://www.opentable.com/r/the-banks-seafood-and-steak-boston
Boston,Toro,Tapas / Small Plates,South End,"1704 Washington St, Boston, MA 02118, USA",https://www.toro-restaurant.com/,42.3369796,-71.0759234,ChIJD1bhcBV644kR2bOt1la-nKk,https://maps.google.com/?cid=12221852768954856409&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Toro,https://www.opentable.com/r/toro-boston
Boston,Mahaniyom,Thai,Brookline,"236 Washington St, Brookline, MA 02445, USA",https://www.mahaniyomboston.com/,42.3326522,-71.1188664,ChIJS03YYr9544kRqpoJvSgIyWE,https://maps.google.com/?cid=7046172063061088938&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mahaniyom,https://www.opentable.com/r/mahaniyom-brookline
Boston,Uni,Contemporary Asian,Back Bay,"370A Commonwealth Ave, Boston, MA 02215, USA",https://uni-boston.com/,42.3486758,-71.0887998,ChIJ7_Ne2QR644kRqjaIFsBEetI,https://maps.google.com/?cid=15166510286926001834&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Uni,https://www.opentable.com/r/uni-boston
Boston,La Royal,Peruvian,Cambridge,"221 Concord Ave, Cambridge, MA 02138, USA",https://www.laroyalcambridge.com/,42.3828679,-71.1315211,ChIJw8s7xYN344kRcUwums_PIGY,https://maps.google.com/?cid=7359110281675295857&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,LA ROYAL,https://www.opentable.com/r/la-royal-cambridge
Boston,Celeste,Peruvian,Somerville,"21 Bow St, Somerville, MA 02143, USA",https://celesteunionsquare.com/,42.381347,-71.0972866,ChIJnzTJNMtw44kRlkx8liK6yZU,https://maps.google.com/?cid=10793362639686487190&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Celeste,https://www.opentable.com/r/celeste-somerville
Boston,Hemenway's,Seafood,Providence,"121 S Main St, Providence, RI 02903, USA",https://www.hemenwaysrestaurant.com/,41.8242135,-71.4069133,ChIJLQjzBBZF5IkRYX_d525MaUA,https://maps.google.com/?cid=4641324930202173281&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Hemenway's Restaurant,https://www.opentable.com/hemenways
Boston,Waterman Grille,American,Providence,"4 Richmond Square, Providence, RI 02906, USA",https://www.watermangrille.com/,41.827296,-71.38099,ChIJv4HVF9Na5IkRu_n11TW9JKM,https://maps.google.com/?cid=11755728966264420795&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Waterman Grille,https://www.opentable.com/waterman-grille
Boston,Gracie's,Contemporary American,Providence,"194 Washington St, Providence, RI 02903, USA",https://graciesprov.com/,41.822057,-71.4158905,ChIJ6R7n7xJF5IkRDCmt1jFy_AI,https://maps.google.com/?cid=215172440587577612&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Gracie's,https://www.opentable.com/gracies-providence
Boston,Los Andes Restaurant,Peruvian,Providence,"903 Chalkstone Ave, Providence, RI 02908, USA",https://www.losandesri.com/,41.8332623,-71.4373663,ChIJU-2y9KVF5IkRZUJPYKz0qgw,https://maps.google.com/?cid=912810895683306085&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Los Andes,https://www.opentable.com/r/los-andes-restaurant-providence
Charleston,Oak Steakhouse - Charleston,Steakhouse,Downtown Charleston,"17 Broad St, Charleston, SC 29401, USA",https://www.oaksteakhouserestaurant.com/location/oak-steakhouse-charleston/?y_source=1_ODE4NDQwNTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,32.7766196,-79.9278501,ChIJo8feqg96_ogRN252YIZn2_8,https://maps.google.com/?cid=18436443326412910135&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Oak Steakhouse,https://www.opentable.com/oak-steakhouse
