City,Name,Cuisine,Neighborhood,OpenTable_URL
Hawaii,The Pig and the Lady,Vietnamese,Kaimuki,https://www.opentable.com/r/the-pig-and-the-lady
Hawaii,Hau Tree,Mediterranean,Waikiki,https://www.opentable.com/r/hau-tree
Hawaii,MW Restaurant,Seafood,Honolulu,https://www.opentable.com/r/mw-restaurant-honolulu
Hawaii,Kaimuki Shokudo,Japanese,Kaimuki,https://www.opentable.com/r/kaimuki-shokudo-honolulu
Hawaii,Senia,Contemporary American,Downtown / Chinatown,https://www.opentable.com/r/senia-honolulu
Hawaii,Lineage Maui,Asian,Wailea,
Houston,Rosie Cannonball,Contemporary American,Montrose,https://www.opentable.com/r/rosie-cannonball-houston
Houston,BCN Taste & Tradition,Spanish,Montrose,https://www.opentable.com/r/bcn-taste-and-tradition
Houston,Kiran's,Indian,Upper Kirby / Shepherd Corridor,https://www.opentable.com/r/kirans-houston
Houston,Agnes and Sherman,Asian,Heights / Washington,https://www.opentable.com/r/agnes-and-sherman-houston
Houston,ChopnBlok,African,Montrose,https://www.opentable.com/r/chopnblok-houston
Houston,Brasserie 19,French,River Oaks,
Houston,Maximo,Mexican,W. University / Med Center,https://www.opentable.com/r/maximo-canteen-west-university-place
Houston,Turner's Cut,Steakhouse,Montrose,https://www.opentable.com/r/turners-cut-houston
Houston,March,Mediterranean,Montrose,https://www.opentable.com/r/march-houston
Houston,Októ,Mediterranean,Montrose,https://www.opentable.com/r/okto-houston
Houston,Lee's,Cocktail Bar,Southeast Houston,https://www.opentable.com/r/lees-den-houston
Houston,Street To Kitchen,Thai,East End,https://www.opentable.com/r/street-to-kitchen-houston
Jacksonville,Midtown Table,Contemporary Italian,Baymeadows,
Jacksonville,Matthew's Restaurant,Contemporary European,Jacksonville,https://www.opentable.com/r/matthews-restaurant-jacksonville
Jacksonville,Rue Saint-Marc,Contemporary European,Jacksonville,https://www.opentable.com/r/rue-saint-marc-jacksonville
Kansas City,Pierpont's at Union Station,Steakhouse,Crossroads / Freight District / Boulevard,https://www.opentable.com/r/pierponts-at-union-station-kansas-city
Kansas City,Story,Modern European,Prairie Village,https://www.opentable.com/r/story-prairie-village
Kansas City,Room 39 - Midtown,Farm-to-table,Kansas City,https://www.opentable.com/r/room-39-midtown-kansas-city
Kansas City,JJ's Restaurant,American,Plaza / Brookside,https://www.opentable.com/r/jjs-restaurant-kansas-city
Las Vegas,Nobu - Caesars Palace Las Vegas,Japanese,Caesars Palace,
Las Vegas,Hell's Kitchen - Caesars Palace Las Vegas,American,Caesars Palace,
Las Vegas,Vanderpump à Paris,French American,Paris Hotel and Casino,https://www.opentable.com/r/vanderpump-a-paris-las-vegas
Las Vegas,Top of the World Steakhouse - The STRAT Hotel Casino & Tower,Steakhouse,The STRAT Hotel & Casino,
Las Vegas,Esther's Kitchen,Italian,Downtown,https://www.opentable.com/r/esthers-kitchen-las-vegas
Las Vegas,Momofuku Las Vegas,American,The Strip,
Las Vegas,Delilah – NYE at Wynn Las Vegas,American,The Strip,
Las Vegas,Harlo Steakhouse & Bar,Steakhouse,Summerlin,https://www.opentable.com/r/harlo-las-vegas
Las Vegas,La Strega,Italian,Spring Valley,https://www.opentable.com/r/la-strega-las-vegs
Los Angeles,Dunsmoor,American,Eagle Rock,https://www.opentable.com/r/dunsmoor-los-angeles
Los Angeles,Gwen,Contemporary American,Hollywood,https://www.opentable.com/r/gwen-los-angeles
Los Angeles,Camélia,French / Japanese,Arts District,https://www.opentable.com/r/camelia-los-angeles
Los Angeles,Loreto,Mexican,Atwater Village,https://www.opentable.com/r/loreto-los-angeles
Los Angeles,Majordōmo,American,Downtown,https://www.opentable.com/r/majordomo-los-angeles
