name,city,state,country,address,website,lat,lon,place_id,google_maps_url,google_name
Sidecar at PJ Clarke's,New York,NY,USA,"205 E 55th St, New York, NY 10022, USA",https://pjclarkes.com/sidecar/third-avenue/,40.758860399999996,-73.96791160000001,ChIJi9qxZuRYwokRDQVN-GPhCgI,https://maps.google.com/?cid=147177757326771469&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sidecar
Siena Ristorante Brooklyn,New York,NY,USA,"533 Kings Hwy, Brooklyn, NY 11223, USA",http://www.sienany.com/,40.604602299999996,-73.9696884,ChIJhcEvIPBEwokRA1Icp51EdmA,https://maps.google.com/?cid=6950818518797144579&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Siena
Sik Gaek,New York,NY,USA,"49-11 Roosevelt Ave, Woodside, NY 11377, USA",http://www.sikgaekbbq.com/,40.743491,-73.915351,ChIJV7eer99ewokRUzYagCNwkOg,https://maps.google.com/?cid=16758017511220983379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,SikGaek
Simon,New York,NY,USA,"208 W 30th St Suite 801, New York, NY 10001, USA",https://www.chef-simon.com/,40.7485874,-73.9931943,ChIJ9xSTb5RZwokRIvvpc0MZAT8,https://maps.google.com/?cid=4539937676864387874&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Simon
Similan on the Bay,New York,NY,USA,"3-75 Beach 92nd St, Far Rockaway, NY 11693, USA",http://www.similanonthebay.com/,40.5889927,-73.81733090000002,ChIJjQW1GQBpwokRAut3VQszkT0,https://maps.google.com/?cid=4436383231708228354&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,SIMILAN ON THE BAY
Singlish,New York,NY,USA,"17 E 13th St, New York, NY 10003, USA",https://singlishnyc.com/,40.7350035,-73.9930171,ChIJ0atKSZNZwokRTN1k8R5NouM,https://maps.google.com/?cid=16402757588131044684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Singlish
Sip & Guzzle,New York,NY,USA,"29 Cornelia St, New York, NY 10014, USA",http://www.sipandguzzlenyc.com/,40.731477500000004,-74.0024921,ChIJ49KsB19ZwokR8VwrMbECQr8,https://maps.google.com/?cid=13781580769764531441&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sip&Guzzle
Sipsteria,New York,NY,USA,"774 Amsterdam Ave, New York, NY 10025, USA",http://www.sipsteria.com/,40.795381,-73.969779,ChIJ43E6GQD3wokR4ZEVh1g7wbo,https://maps.google.com/?cid=13457102412969251297&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sipsteria UWS
Sirrah,New York,NY,USA,"1 Little W 12th St, New York, NY 10014, USA",https://www.sirrahny.com/,40.7395814,-74.005946,ChIJXVUlhudZwokRVMFlFlvHHcI,https://maps.google.com/?cid=13987555211714347348&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sirrah
Sisters,New York,NY,USA,"900 Fulton St, Brooklyn, NY 11238, USA",http://sistersbklyn.com/,40.6828778,-73.9652184,ChIJi73FVqNbwokRZ4KIqLtNoFw,https://maps.google.com/?cid=6674420116144816743&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sisters
Sixty Three Clinton,New York,NY,USA,"63 Clinton St, New York, NY 10002, USA",https://www.63clinton.com/,40.719502999999996,-73.985142,ChIJ385rlW9ZwokRHTamoLqoosI,https://maps.google.com/?cid=14024957709097776669&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sixty Three Clinton
Sixpoint Brewery Taproom,New York,NY,USA,"200 Liberty St Suite 106-A, New York, NY 10281, USA",http://brookfieldplace.sixpoint.com/,40.7112127,-74.0156148,ChIJZ1KaswNbwokRCY_J4jUoVgo,https://maps.google.com/?cid=744827000279633673&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sixpoint Brewery at Brookfield Place
Skirt Steak,New York,NY,USA,"835 6th Ave, New York, NY 10001, USA",https://www.skirtsteaknyc.com/,40.7468785,-73.9902168,ChIJZzeRDkBZwokRODxBJ-bYauA,https://maps.google.com/?cid=16170975895039851576&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Skirt Steak
Sky Wise Lounge,New York,NY,USA,"2027 Emmons Ave STE 2, Brooklyn, NY 11235, USA",http://www.skywiselounge.com/,40.5840174,-73.9468806,ChIJSdT4_c5FwokRLxPDD5MRxYk,https://maps.google.com/?cid=9927360276930433839&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sky Wise Lounge
Slate NY,New York,NY,USA,"54 W 21st St, New York, NY 10010, USA",http://www.slate-ny.com/,40.741215499999996,-73.9931854,ChIJSZr2ZqNZwokRN89ggdSWGiQ,https://maps.google.com/?cid=2601557574207721271&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Slate
Sloane's,New York,NY,USA,"58 Thompson St Second Floor, New York, NY 10012, USA",https://www.sloanes.nyc/,40.7239796,-74.00311789999999,ChIJ8-sAQG5ZwokRQs7VscCgJE0,https://maps.google.com/?cid=5558744589559778882&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sloane's
Smithereens,New York,NY,USA,"414 E 9th St, New York, NY 10009, USA",https://www.smithereensnyc.com/,40.727733799999996,-73.9842655,ChIJUb901VlZwokRmb0kduVLllM,https://maps.google.com/?cid=6023085000556330393&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Smithereens
Smith & Mills Rockefeller Center,New York,NY,USA,"Rink Level, 30 Rockefeller Plaza, New York, NY 10112, USA",https://www.smithandmills.com/location/rockefeller-center/,40.758123999999995,-73.977859,ChIJE_nbh_1ZwokRXlCky7bbD2Y,https://maps.google.com/?cid=7354338294666383454&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Smith & Mills
SMØR,New York,NY,USA,"441 E 12th St, New York, NY 10009, USA",http://www.smornyc.com/,40.7292953,-73.98153570000001,ChIJNTHMPrdbwokRIgmROnpA1RI,https://maps.google.com/?cid=1357061756434843938&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Smør
Smyth Tavern,New York,NY,USA,"85 W Broadway, New York, NY 10007, USA",https://www.smythtavern.com/,40.715220599999995,-74.009131,ChIJBfstmZVbwokR46K9zOToCeM,https://maps.google.com/?cid=16359863190785204963&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Smyth Tavern
Sociale,New York,NY,USA,"320 Court St, Brooklyn, NY 11231, USA",http://socialebk.com/,40.683273199999995,-73.99569749999999,ChIJCbABujdawokRyjha6wBgPqE,https://maps.google.com/?cid=11618829645727283402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sociale
So & So's,New York,NY,USA,"302 W 52nd St, New York, NY 10019, USA",https://www.soandsosbar.com/,40.7635668,-73.9854912,ChIJMXPD3dRZwokRWeYrmjeM1Oo,https://maps.google.com/?cid=16921303870375454297&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,So & So's Neighborhood Piano Bar
Soda Club,New York,NY,USA,"95 Avenue A, New York, NY 10009, USA",https://www.overthrowhospitality.com/,40.7256613,-73.98408189999999,ChIJzVWJIgVZwokRZzgRswAxIJY,https://maps.google.com/?cid=10817700184017942631&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Soda Club
Sofia's,New York,NY,USA,"143 Mulberry St, New York, NY 10013, USA",https://www.sofias143.com/,40.7188684,-73.9977175,ChIJ2aiPz3lZwokRjwjKg-ZkCOs,https://maps.google.com/?cid=16935897339943061647&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sofia's of Little Italy
Sofreh,New York,NY,USA,"75 St Marks Ave, Brooklyn, NY 11217, USA",http://www.sofrehnyc.com/,40.679915199999996,-73.97397080000002,ChIJK9DnCNlbwokR499xR5NXZII,https://maps.google.com/?cid=9395731012672151523&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Sofreh
